Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Sambar,1 serving,,96.92,3.35,4.38,3.52,10.57,3.31,159.54,30.24,1.24,20.35,68.19
Sambar powder (Sambar masala),1 serving,,297.46,12.5,15.58,34.56,23.38,1.87,27.66,439.95,12.63,,
Sardines,3 oz.,85,180,22,9,0,0,,,,,,
Sarson ka saag,1 serving,,87.84,3,5.86,3.69,5.33,0.75,165.45,134.41,2.43,59.58,128.42
Sattu drink,1 serving,,23.38,0.56,0.14,0.4,5.16,3.96,12.65,1.59,0.17,0,25.48
Sauerkraut,1 cup,150,32,1,0,1.2,7,,,,,,
Saunth/Sonth chutney with ginger,1 serving,,84.22,0.28,0.11,0.31,20.62,19.04,222.53,15.17,0.7,0,0.51
Saunth/Sonth chutney with tamarind/imli,1 serving,,141.53,1.01,0.15,0.93,33.55,31.31,244.38,54.74,2.71,0.09,0.99
Sauteed radishes with green beans,1 serving,,94.32,2.41,6.61,3.52,6.04,1.78,65.1,40.2,1.01,6.55,45.89
Savoury cheese horns,1 serving,,295.15,5.66,20.71,0.73,21.38,2.74,212.28,121.83,0.63,2.31,8.51
Savoury puffs,1 serving,,190.79,9.51,15.24,0.33,10.8,4.51,2274.24,68.83,1.19,1.49,15.04
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,0.4,14,,,,,,
Scallops,3 1/2 oz.,100,104,18,8,0,10,,,,,,
Schezwan chutney,1 serving,,205.19,3.33,17.72,5.72,10.79,5.66,486.27,35.46,1.96,26.36,159.08
Scotch egg,1 serving,,676.89,4.05,72.62,0.36,1.91,0.3,90.67,15.03,0.6,2.59,30.63
Scrambled egg (Ande ki bhurji),1 serving,,155.97,10.29,12.21,0.24,1.35,1.08,374.66,64.59,1.42,0.3,25.82
Semolina burfi (Suji/Rava burfi),1 serving,,348.67,3.47,16.86,2.8,47.1,28.67,8.33,14.86,1.01,0,3.21
Semolina cake (Suji/Rava cake),1 serving,,374.14,6.58,25.18,5.37,31.32,18.86,91.36,128.28,1.36,0.94,9.42
Semolina carrot vada (Suji gajar vada),1 serving,,699.53,1.56,74.07,1.07,6.52,1.21,73.17,26.47,0.36,0.95,9.36
Semolina dhokla (Suji/Rava dhokla),1 serving,,194.91,5.44,5.2,5.12,30.86,1.85,443.39,31.17,2.52,3.66,15.26
Semolina dosa (Suji/Rava dosa),1 serving,,227.05,7.3,7.12,4.04,32.84,4.37,202.36,116.04,1.39,2.28,15.86
Semolina halwa (Suji ka halwa),1 serving,,225.65,2.16,13.38,1.86,24.67,13.98,1.28,11.77,0.65,0.05,7.96
Semolina idli (Suji/Rava idli),1 serving,,206.39,9.34,3.47,5.85,33.67,3.42,185.02,100.85,2.34,1.61,17.37
Semolina kheer (Suji/Rava kheer),1 serving,,113.21,3.43,4.2,0.51,15.88,12.88,22.66,105.99,0.34,4.06,17.54
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),1 serving,,464.43,5.68,27.03,6.69,50.9,27.32,9.06,26.72,1.83,0.05,5.21
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),1 serving,,428.71,6.71,21.86,4.68,52.86,33.28,14.4,106.42,1.73,0.03,7.1
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),1 serving,,441.84,5.44,25.45,4.27,48.02,19.79,3.93,18.04,1.81,0.03,4.01
Semolina milk drink (Thari kanji),1 serving,,44.16,0.98,1.36,0.72,6.93,3.88,11.95,8.26,0.36,6.58,11.86
Semolina porridge (Suji/Rava daliya),1 serving,,100.89,3.75,4.08,0.7,12.39,7.54,23.21,108.52,0.36,5.03,22.71
Semolina upma (Suji/Rava upma),1 serving,,147.89,3.3,7.49,3.24,16.31,1.31,101.59,21.57,1.1,4.64,15.13
Sesame biscuit (Til ke biscuit),1 serving,,424.03,8.27,19.34,6.83,53.65,29.73,182.26,298.06,5.73,0,5.46
Sesame chickpeas brittle (Til aur channe ki chikki),1 serving,,282.74,8.5,4.66,5.54,50.49,36.48,17.93,150.73,4.8,0,23.64
Sesame ladoo (Til ke ladoo),1 serving,,396.96,10.7,19.64,7.72,43.5,38.63,18.55,631.82,8.94,0,18.17
Sesame seeds,1/2 cup,50,280,9,24,3.1,10,,,,,,
Sesame toast,1 serving,,495.19,1.9,49.38,1.32,11.15,1.46,128.78,43.44,0.72,6.92,8.87
Sev (Omapodi/Karapusa),1 serving,,609.14,5.12,60.08,2.35,12.87,0.53,53.19,13.95,0.72,0,59.29
Shad,3 oz.,85,170,20,10,0,0,,,,,,
Shahi chicken masala,1 serving,,163.7,9.82,12.02,0.96,4.07,2.86,142.56,82.68,0.89,9.92,65.41
Shahi keema kofta curry,1 serving,,418.13,4.14,43.83,0.91,1.73,0.78,104.53,14.51,0.67,20.97,34.57
Shahi paneer,1 serving,,156.5,5.06,12.34,1.4,6.64,5.01,215.35,125.38,0.62,30.83,78.58
Shahi suji halwa,1 serving,,382.34,3.48,21.73,2.96,44.44,27.21,2.18,18.64,0.98,0.02,7.46
Shahi tukre,1 serving,,189.81,2.76,2.54,0.51,41.46,34.7,71.04,76.47,0.37,0.86,7.61
Shammi kebab,1 serving,,685.69,4.52,72.61,1.05,3.54,0.31,54.27,13.11,0.75,1.64,20.55
Shepherd's pie (vegetarian),1 serving,,135.63,5.04,7.3,2.23,12.03,2.78,118.2,85.59,0.76,51.68,90.43
Shishu ahar,1 serving,,93.37,2.61,1.43,1.02,17.42,6.61,2.68,13.78,1.02,0,17.34
Short bread cookies,1 serving,,443.09,6.03,17.98,1.57,64.82,23.31,145,15.92,1.12,0,1.62
Short crust pastry,1 serving,,422.1,6.11,23.98,1.58,44.72,3.18,97.2,16.9,1.02,,
"Shoulder, braised",3 oz.,85,285,18,23,0,0,,,,,,
Shredded wheat biscuit,1,28,100,3,1,0.7,23,,,,,,
Shrimp,3 oz.,85,110,23,1,0,0,,,,,,
"skim, instant",1 1/3 cups,85,290,30,0,0,42,,,,,,
"skim, non-instant",2/3 cup,85,290,30,0,1,42,,,,,,
skim. milk,1 cup,250,128,18,4,1,13,,,,,,
Small onion pickle ,1 serving,,16.86,1.65,0.64,1.09,2.76,2.99,249.48,31.95,1.2,19.37,16.9
Snow flakes pudding,1 serving,,95.21,4.67,4.97,0.03,8.07,8.01,39.6,101.33,0.42,5.47,42.48
"Soda, 2 1/2 square",2,11,45,1,1,0,8,,,,,,
Soft Custard (stirred),1 serving,,109.18,5.01,5.07,0,11.19,11.15,122.17,95.82,0.49,3.62,37.31
Sour cream potato salad,1 serving,,121.9,2.89,8.13,1.21,9.05,0.84,102.66,23.25,0.9,37.28,52.99
Sour lentils (Khatti dal),1 serving,,34.79,2.22,0.12,1.22,6.04,1.25,115.6,8.29,0.85,1.88,22.49
Soya chikki,1 serving,,423.7,7.18,15.51,3.55,62.89,45.47,17.24,81.25,4.47,0,36.21
Soya chunks and peas (Nutrinugget matar),1 serving,,82.62,3.03,5.11,2.86,5.82,1.64,70.97,20.32,0.99,39.15,52.1
Soya chunks korma (Nutrinugget korma),1 serving,,131.43,3.86,9.5,2.57,7.67,4.66,148.98,89.7,1.18,11.59,49.69
Soya chunks sweet and sour (Nutrinugget sweet and sour),1 serving,,500.94,2.85,55.99,0.86,3.27,1.1,2257.67,13.89,0.7,37.78,40.59
Soya roti,1 serving,,283.96,9.18,9.23,8.71,40.03,1.58,155.93,53.42,3.85,4.04,35.91
Soya seekh kebab,1 serving,,115.05,5.4,5.88,2.24,10,0.51,92.25,15.67,1.26,8.56,14.38
Soyabean curry,1 serving,,163.28,10.43,10.19,7.34,6.76,2.66,352.69,65.13,2.79,15.13,103.88
Soyabean muthias,1 serving,,839.33,2.46,90.45,1.47,3.7,0.17,78.25,12.16,0.6,0.79,22.43
Soyabean namak paras,1 serving,,838.46,2.65,89.83,1.41,4.65,0.22,72.05,12.13,0.64,0,45.64
Soyabean tikki,1 serving,,698.17,3.53,74.02,2.2,4.39,0.35,88.72,29.23,1.04,6.71,57.9
Soybeans,1 cup,200,260,22,11,3.2,20,,,,,,
Spaghetti and cheese balls in tomato sauce,1 serving,,508.32,2.41,52.08,0.59,7.82,1.83,104.14,40.59,0.32,57.67,115.96
Spaghetti bolognese,1 serving,,97.43,9.35,9.51,1.08,10.04,1.41,5358.6,73.66,2.06,27.89,37.77
Spaghetti with meat balls and tomato sauce,1 serving,,158.13,5.61,10.64,1.11,10.46,1.87,189.13,40.82,0.71,44.09,63.03
Spaghetti with meat sauce,1 cup,250,285,13,10,0.5,35,,,,,,
Spaghetti with paneer balls and tomato sauce,1 serving,,158.54,3.95,10.44,1.25,12.72,3.03,199.55,80.73,0.55,44.09,98.36
Spanish omelette/omlet,1 serving,,157.45,8.25,11.44,2.54,5.1,1.03,233.87,31.72,1.28,28.63,61.18
Spanish rice,1 serving,,164.24,4.19,2.23,2.78,31.1,1.26,96.61,18.93,0.92,48.66,54.48
Spicy chutney sandwich,1 serving,,249.58,8.74,9.58,3.73,34.03,3.96,315.4,154.53,1.51,0.21,23.71
Spicy corn chaat ,1 serving,,479.8,4.61,46.55,2.17,11.45,0.95,86.5,17.28,0.84,14.1,227.37
Spinach,1 cup,100,26,3,0,1,3,,,,,,
Spinach and paneer souffle ,1 serving,,186.19,7.56,13.49,1.07,9.64,2.81,434.68,114.32,1.4,10.82,133.95
Spinach and potato (Palak aloo),1 serving,,57.17,1.63,2.82,2.04,5.91,0.93,62.46,43.67,1.59,78.73,242
Spinach burfi (Palak burfi),1 serving,,121.17,2.71,6.81,1.17,12.76,12.12,27.77,93.68,1.05,8.57,39.63
Spinach chickpeas cutlet (Palak channa dal cutlet),1 serving,,688.03,1.44,73.6,0.93,4.93,0.16,79.13,11.3,0.57,16.18,49.07
Spinach khichri (Palak khichri/khichdi),1 serving,,102.18,3.43,1.91,1.56,17.35,0.21,69.59,10.43,0.65,3.03,28.15
Spinach kofta curry (Palak kofta curry),1 serving,,571.78,1.09,61.49,0.92,3.56,0.82,104.51,29.31,0.83,64.05,250.89
Spinach mushroom (Palak mushroom),1 serving,,47.63,1.94,2.96,2.27,2.95,1,70.97,49.75,1.69,60.21,232.9
Spinach mushroom scrambled egg (Palak mushroom bhurji),1 serving,,158.85,13.28,11.51,0.39,0.59,0.1,227.97,140.31,1.6,2.27,54.24
Spinach mutton (Palak mutton),1 serving,,80.32,5.74,4.71,2.23,3.45,1.42,121.1,96.88,2.38,88.11,391.34
Spinach pakora/pakoda (Palak pakoda),1 serving,,712.62,1.96,76.38,1.02,4.68,0.2,69.54,10.99,0.52,12.12,153.51
Spinach paneer (Palak paneer),1 serving,,77.68,4.03,4.76,1.91,4.43,2.55,166.87,113.25,1.85,60.21,267.05
Spinach paneer kofta curry (Palak paneer kofta curry),1 serving,,606.03,1.43,65.41,0.75,2.94,1.16,99.37,37.71,0.68,47.34,197.93
Spinach peanut burfi (Palak aur mungfali ki burfi),1 serving,,105.37,3.36,4.39,2.07,13.59,11.5,19.52,40.95,1.61,30.28,164.72
Spinach peanut namak paras (Palak moongfali namak paras),1 serving,,740.16,1.65,78.51,0.81,6.62,0.28,73.15,13.35,0.67,11.39,64.2
Spinach poori (Palak poori),1 serving,,684.25,1.42,71.86,1.55,7.76,0.24,35.47,10.02,0.79,3.03,18.9
Spinach raita (Palak ka raita),1 serving,,52.75,3.95,1.86,1.39,5.06,3.97,126.57,142.96,1.61,32.9,160.65
Spinach souffle ,1 serving,,150.18,7.36,10.52,1.44,6.27,0.89,244.07,133.69,2.15,30.28,172.47
Spinach soup (Palak ka soup),1 serving,,32.59,10.54,14.26,1.98,3.03,0.29,12088.21,56.23,2.68,30.99,150.94
Spinach soup in milk ,1 serving,,56.72,2.89,3.2,0.79,3.98,3.34,31.16,106.1,1.08,,
Split bengal gram burfi/fudge (Channa dal burfi),1 serving,,287.36,4.65,7.09,2.06,54.63,43.38,2.53,16.44,0.62,0.6,24.28
Split bengal gram dal (Channa dal),1 serving,,99.67,4.15,4.62,3.72,9.99,0.98,46.4,21.99,1.92,13.38,103.45
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),1 serving,,116.53,3.6,2.3,3.16,19.72,1.59,98.07,19.09,0.82,27.07,104.21
Split bengal gram sweet rice (Channa dal sweet rice),1 serving,,190.21,4.15,0.64,2.23,41.07,19.41,8.38,30.37,1.77,0,48.48
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),1 serving,,73.25,2.79,3.6,2.72,7.1,1.05,149.47,14.33,0.99,15.2,90.42
Split cooked peas,4 cups,100,115,8,0,0.4,21,,,,,,
Split-pea soup,1 cup,250,147,8,3,0.5,25,,,,,,
Sponge cake ,1 serving,,253.77,9.18,4.74,0.69,44.63,26.33,64.61,30.22,1.47,,
Spring basket salad,1 serving,,160.46,3.36,11.3,3.09,11.61,1.46,26.02,45.65,0.85,70.79,109.53
Spring roll,1 serving,,623.87,1.81,64.63,0.67,8.56,0.6,132.84,9.51,0.49,4.59,9.59
Sprouted moong dal chat,1 serving,,32.47,1.35,0.32,1.35,6.01,1.57,87.07,16.54,0.88,38.78,43.12
Sprouted moong daliya ,1 serving,,111.56,2.81,4.71,3.12,14.77,1.67,196.73,22.62,1.29,7.53,35.24
Sprouted moong parantha/paratha,1 serving,,228.59,4.29,12.43,4.49,24.31,1.47,153.94,20.33,1.94,2,12.52
Sprouted moong poha ,1 serving,,192.6,5.59,6.89,3.13,26.6,1.93,220.82,28.39,2.43,19.24,46.81
Sprouted moong pulao,1 serving,,112.97,2.19,3.61,1.78,17.49,1.43,153.16,16.26,0.65,7.53,43.15
Sprouted moong raita ,1 serving,,60.89,4.62,2.19,0.16,6.13,5.59,189.2,139.44,0.86,3.59,27
Sprouted moong salad ,1 serving,,37.81,2.29,0.74,0.95,5.48,2.13,116.38,54.56,1.45,27.84,49.76
Sprouts upma ,1 serving,,316.25,9.5,10.44,7.16,44.96,1.67,147.82,36.78,2.76,0.48,26.63
Squash,1 cup,210,35,1,0,0.6,8,,,,,,
Stalk raw,1 large,40,5,1,0,0.3,1,,,,,,
Starfruit preserves ,1 serving,,128.93,0.24,0.12,0.78,33.62,33.47,2.06,5.24,0.2,17.65,4.32
Steak,3 oz.,85,330,20,27,0,0,,,,,,
"Steak, lean, as round",3 oz.,85,220,24,12,0,0,,,,,,
Steamed cabbage,1 cup,170,40,2,0,1.3,9,,,,,,
Steamed cake with chocolate sauce,1 serving,,301.91,4.49,19.01,0.29,29.06,19.72,100.32,67.76,0.85,1.81,25.81
Steamed orange pudding,1 serving,,278.03,2.34,12.04,0.58,41.53,26.53,79.1,21.15,0.55,21.74,15.92
Steamed potatoes before peeling,1 med.,100,80,2,0,0.4,19,,,,,,
Steeped hot coffee,1 serving,,15.91,0.39,0.33,0,3.01,2.96,2.82,10.4,0.06,0.3,1.27
Stewed apple,1 serving,,91.93,0.17,0.37,1.48,22.49,20.45,1.53,9.25,0.18,,
Stewed apple with custard,1 serving,,92.87,1.27,1.82,1.01,18.36,15.46,16.66,49.24,0.18,5.6,10.2
Stewed fruit (with pear),1 serving,,74.32,0.25,0.32,2.84,18.22,17.67,1.7,5.94,0.21,2.48,4.33
Stewed or canned,1 cup,240,100,0,0,2,26,,,,,,
Strawberries,1 cup,227,242,1,0,1.3,60,,,,,,
Strawberry and vanilla cake with butter icing,1 serving,,370.54,3.89,20.39,0.79,44.25,32.43,107.27,28.17,0.7,8.4,12.8
Strawberry ice cream,1 serving,,215.61,4.15,16.96,0,12.26,11.6,37.62,77.08,0.34,2.13,22
"Strips, from raw",1 mad.,50,20,0,0,0.5,5,,,,,,
Stuffed baked potatoes ,1 serving,,100.2,3.82,4.39,1.31,11.03,0.4,92.09,25.72,0.81,18.77,23.25
Stuffed bittergourd (dry) (Bharwa karela),1 serving,,217.65,1.29,22.38,3,2.49,0.07,519.29,16.72,1.29,43.5,48.09
Stuffed bottle gourd (Stuffed ghiya/lauki),1 serving,,93.19,5.84,5.8,1.18,4.36,1.52,106.99,71.83,0.66,9.01,92.91
Stuffed brinjal (Bharwa baingan),1 serving,,93,1.53,7.73,4.09,3.96,0.92,212.88,24.37,0.75,1.13,17.11
Stuffed capsicum (Bharwa shimla mirch),1 serving,,90.94,1.34,5.7,2.01,8.26,1.21,173.94,15.17,0.61,74.25,38.35
Stuffed egg omelette/omlet,1 serving,,203.51,8.6,17.77,0.75,2.3,1.57,267.19,89.91,0.91,8.29,70.23
Stuffed okra (Bharwa bhindi),1 serving,,94.34,2.08,7.66,4.15,3.85,0.48,210.03,86.89,1.18,22.65,63.97
Stuffed round gourd (Bharwa tinde),1 serving,,72.8,1.1,5.75,2.1,4.02,1.96,180.15,20.21,0.59,37.36,71.07
Stuffed tomatoes (Bharwa tamatar),1 serving,,93.35,3.28,6.06,2.2,6.19,2.68,165.85,59.16,0.62,28.23,37.42
Submarine sandwich,1 serving,,216.92,6.09,15.32,1.24,13.6,2.5,254.28,72.35,1.23,21.43,36.34
Summer cooler,1 serving,,22.43,0.37,0.04,0.2,5.43,5.21,1.57,8.13,0.28,103.5,63.89
Sunflower cookies,1 serving,,520.62,9.49,36.28,3.95,40.06,24.28,181.68,70.45,2.21,0,51.65
Sunflower seeds,1/2 cup,50,280,12,26,1.9,10,,,,,,
Sunset and sunrise open sandwich,1 serving,,241.31,8.58,15.14,1.39,18.89,1.95,381.29,114.07,1.28,3.86,26.36
Sweet and salty biscuit (Meethay aur namkeen biscuit),1 serving,,407.96,6.15,22.39,1.68,45.09,7.22,414.7,37.24,1.05,0.03,1.02
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),1 serving,,60.88,1.26,3.24,2.2,6.55,4.31,1281.94,15.18,0.54,,
Sweet corn soup,1 serving,,32.25,0.99,1.63,0.31,3.56,0.9,22.35,3.72,0.41,10.33,50.13
Sweet couscous dessert,1 serving,,196.2,3.81,7.69,2.18,29.69,15.89,4.22,30.94,0.84,34.1,29.16
Sweet Lassi (Meethi lassi),1 serving,,35.66,1.29,0.68,0,6.51,6.51,18.31,45.65,0.03,1,18
Sweet lemon pickle (Neembu ka meetha achaar),1 serving,,69.54,1.22,0.21,2.13,16.87,14.63,6415.9,42.57,1.02,,
Sweet open sandwich,1 serving,,244.25,4.99,8.15,2.36,39.24,12.23,205.27,85.18,1.15,1.65,13.05
Sweet peach pickle (Aadoo ka achaar),1 serving,,144.64,0.46,0.2,1.32,37.01,36.46,33.04,11.99,0.33,7.36,8.5
Sweet plain biscuit,1 serving,,380.76,5.86,17.67,1.07,50.29,21.77,132.59,42.88,0.92,0.03,1.7
Sweet poori (Meethi poori),1 serving,,782.75,2.12,79.63,1.54,14.26,7.15,2.57,34.24,1.13,0,18.38
Sweet potato biscuit (Shakarkand ke biscuit),1 serving,,296.4,5.14,13.31,2.27,38.13,2.53,339.58,56.34,0.81,7.95,17.7
Sweet potatoes,1 med.,110,155,2,1,1,36,,,,,,
Sweet raita (Meetha raita),1 serving,,99.24,3.24,1.78,1.02,17.93,15.36,42.98,108.91,0.21,5.2,24.9
Sweet rice (Meethe chawal),1 serving,,215.41,2.1,4.57,1.13,42.59,24.8,3.2,11.38,0.34,0.21,10.65
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),1 serving,,366.59,9.51,7.93,8.16,62.66,24.73,12.05,53.3,4.36,0,27.67
Sweet wheat porridge (Sweet dalia),1 serving,,140.66,5.11,2.79,2.37,23.77,12.23,24.63,99.18,1.98,,
Sweetened yogurt (Shrikhand),1 serving,,107.18,5.27,2.89,0.08,16.02,15.81,73.61,183.02,0.17,2.79,50.44
Swiss,1 oz.,28,105,7,8,0,0,,,,,,
Swiss roll,1 serving,,251.87,7.3,3.77,0.55,48.34,32.96,51.9,24.11,1.19,0,14.36
Swordfish,1 steak,100,180,27,6,0,0,,,,,,
Syrup,2 T.,40,100,0,0,0,25,,,,,,
Table (12.2% alcohol),1/2 cup,120,100,0,0,0,5,,,,,,
table blends sugar,2 T.,40,110,0,0,0,29,,,,,,
Talaumein soup,1 serving,,35.63,10.12,12.78,1.94,4.17,0.77,11088.14,42.33,2.23,12.62,48.58
Tamarind chutney (Chintapandu pachadi/Puli chutney),1 serving,,109.15,0.88,0.48,1.65,25.07,22.85,75.61,40.3,1.95,0.03,0.18
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),1 serving,,373.04,7.45,8.53,5.12,65.08,11.65,162.41,50.94,2.89,0.84,23.02
Tandoori chicken,1 serving,,145.2,16.26,7.93,0.5,2.34,1.58,158,44.33,0.9,39.53,182.73
Tandoori fish,1 serving,,95.98,11.19,4.64,0.58,2.37,1.6,123.94,37.27,0.46,19.66,27.55
Tandoori parantha/paratha,1 serving,,295.37,5.08,16.51,5.44,30.74,0.86,1.14,14.98,1.96,0,7.79
Tangerines,I med.,114,40,1,0,1,10,,,,,,
Tapioca cream pudding,1 cup,250,335,10,10,0,42,,,,,,
Tartare sauce,1 serving,,610.93,1.44,66.12,0.42,2.96,2.18,256.95,21.06,0.56,,
Tea,1 cup,230,4,0,0,0,1,,,,,,
Thandai,1 serving,,101.18,3.59,5.89,0.8,9.13,8.21,22.69,112.31,0.6,3.66,18.19
Thickened sweetened milk (Rabri),1 serving,,102.79,3.52,5.35,0.19,10.55,10.09,23.92,111.87,0.29,4.09,16.31
Thousand island dressing,1 serving,,407.87,1.37,42.87,0.46,4.49,3.1,946.1,9.11,0.45,,
Thousand Island sauce,1 T.,15,75,0,8,0,1,,,,,,
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),1 serving,,150.68,4.03,6.31,2.1,20.51,1.79,222.22,76.75,1.15,7.12,17.26
Tomato aspic,1 serving,,50.37,6.87,0.26,1.58,5.02,3.21,98.17,44.28,1.18,35.87,39.01
Tomato catsup,1 T.,17,15,0,0,0,4,,,,,,
Tomato chicken,1 serving,,111.68,10.57,6.71,1.42,2.13,0.93,104.83,21.24,0.87,24.53,24.19
Tomato chutney (Tamatar ki chutney),1 serving,,176.07,0.97,6.01,1.49,31.85,30.02,823.65,25.34,0.96,,
Tomato fish,1 serving,,489.79,2.39,51.91,0.72,3.18,1.35,91.47,6.46,0.24,75.09,76.88
Tomato ginger chutney (Tamatar adarak ki chutney),1 serving,,44.66,1.05,0.32,2.14,9.11,6.31,209.42,23.63,1.08,3.65,2.29
Tomato juice,1 cup,240,50,2,0,0.6,10,,,,,,
Tomato ketchup,1 serving,,33.07,0.91,0.3,1.9,6.48,4.68,177.97,15.33,0.36,,
Tomato onion raita (Tamatar aur pyaaz ka raita),1 serving,,59,3.74,1.84,0.97,7.08,5.98,165.21,120.62,0.26,15.04,34.77
Tomato puree,1 serving,,20.62,0.75,0.25,1.56,3.68,2.32,244.99,8.91,0.22,,
Tomato sandwich (grilled),1 serving,,189.92,6.26,9.39,1.91,21.29,2.58,420.6,150.9,0.88,8.91,16.85
Tomato sauce,1 serving,,34.33,0.81,0.27,1.79,7.23,5.69,174.79,13,0.31,,
Tomato soup,1 cup,245,175,6,7,0.5,22,,,,,,
Tomatoes,1 cup,240,50,2,0,1,9,,,,,,
Tossed green salad,1 serving,,49.88,1.33,3.24,1.33,3.82,1.9,65.09,33.71,1.27,58.24,75.97
Tossed salad,1 serving,,62.96,1.02,4.22,2.15,4.95,1.56,77.5,32.37,0.86,85.7,99.67
Triffle pudding,1 serving,,116.97,2.93,3.93,0.12,18.24,13.89,26.95,48.72,0.47,19.31,28.71
Tuna,3 oz.,85,170,25,7,0,0,,,,,,
Turkey,3 1/2 oz.,100,265,27,15,0,0,,,,,,
Turnip greens,1 cup,145,45,4,1,1.8,8,,,,,,
"Turnips, steamed",1 cup,155,40,1,0,1.8,9,,,,,,
Tutti fruitti biscuit,1 serving,,420.78,5.21,17.9,5.43,53.12,15.75,93.11,23.81,1.96,0,15.19
Tutti frutti cake,1 serving,,347.72,4.49,12.68,0.85,52.94,28.08,106.36,61.41,0.62,1.9,76.45
uncreamed,1 cup,225,195,38,0,0,6,,,,,,
Urad sabut special,1 serving,,79.39,2.33,5.46,2.15,5.03,0.86,60.09,21.45,0.71,28.45,80.51
Urad special dehusked,1 serving,,69.43,3.14,2.17,2.5,8.86,1.32,109.56,16.4,0.83,17.4,54.46
Uttapam,1 serving,,255.95,6.18,9.03,4.4,36.28,1.5,228.69,40.86,1.23,6.15,19.02
Vanilla ice cream with apples in hot cherry sauce,1 serving,,196.32,1.73,11.45,0.26,22.75,14.19,31.54,56.34,0.16,4.23,10.77
Vanilla ice cream with egg,1 serving,,214.85,4.16,17.02,0,11.71,11.69,37.72,77.42,0.34,2.13,21.98
Vanilla ice cream without egg,1 serving,,228.67,2.69,18.15,0,14.21,13.45,23.97,81.27,0.1,2.13,9.67
Vanilla souffle,1 serving,,187.85,7.71,11.19,0,14.78,12.86,56.73,70.6,0.58,1.3,30.71
Veal,3 oz.,85,185,23,9,0,0,,,,,,
Veg manchurian,1 serving,,585.64,0.89,61.65,1.16,6.82,0.76,65.31,16.79,0.31,15.1,26.53
Veg paneer stew,1 serving,,145.55,6.98,8.41,3.08,10.22,4.85,73.15,160.51,1.37,32.41,102.72
Vegetable,1 cup,250,80,4,2,0,14,,,,,,
Vegetable and cheese pie,1 serving,,126.88,4.03,8.28,1.91,8.76,2.69,117.99,99.48,0.58,55,104.25
Vegetable and mayonnaise sandwich,1 serving,,244.26,4.47,15.4,2.35,23.2,2.35,342.7,79.53,0.91,12.9,17.05
Vegetable biryani/biriyani,1 serving,,174.61,3.16,9.51,3.31,18.56,2.14,183.79,33.52,0.86,39.35,77.54
Vegetable burger,1 serving,,519.93,3.26,50.63,1.7,13.69,1.88,168.97,26.08,0.7,24.68,40.96
Vegetable chowmein,1 serving,,129.71,3.07,6.36,1.86,15.44,1.97,258.47,28.33,0.99,85.39,99.36
Vegetable curry with coconut ,1 serving,,83.07,2.77,4.66,3.35,7.19,1.41,43.4,19.63,0.95,69.6,87.67
Vegetable cutlet,1 serving,,665.45,1.25,71.33,0.93,4.68,0.35,85.38,13.55,0.4,16.89,30.52
Vegetable jalfrezi,1 serving,,68.48,1.4,4.38,2.97,5.43,1.79,79.46,27.11,0.68,26.08,28.48
Vegetable khichdi/khichri,1 serving,,143.17,5.61,4.53,2.45,19.57,3.71,193.55,100.54,1.09,,
Vegetable mix,1 serving,,174.21,4.7,0.94,1.93,36.02,27.36,34.94,90.06,2.27,8.48,36.84
Vegetable namkeen jave,1 serving,,112.23,2.93,2.51,2.86,18.98,1.04,32.13,10.32,1.07,12.45,26.26
Vegetable pancake,1 serving,,125.18,3.87,6.57,2.48,12.24,2.09,116.69,42.89,0.79,20.63,28.57
Vegetable patties ,1 serving,,261.92,4.01,17.74,2.62,20.98,1.49,139.52,18.96,0.87,13.92,22.85
Vegetable poha,1 serving,,180.52,4.89,8.07,3.76,21.52,1.4,418.02,28.01,1.92,7.21,21.79
Vegetable samosa,1 serving,,443.11,2.21,42.22,1.52,13.22,0.74,107.7,10.37,0.6,10.06,12.39
Vegetable seekh kebab,1 serving,,690.73,1.57,73.72,0.59,5.32,0.74,83.67,32.66,0.36,6.86,13.84
Vegetable soup,1 serving,,55.21,2.22,1.55,3.01,7.6,1.61,170.68,18.1,0.63,,
Vegetable stock,1 serving,,17.6,0.3,1.38,0.38,0.96,0.44,49.75,5.08,0.12,7.58,13.92
Vegetable upma,1 serving,,146.47,4.73,6.63,4.19,16.46,1.39,347.02,26.68,1.35,14.42,50.48
Vegetable yakhni,1 serving,,406.06,1.18,43.8,0.61,1.94,1.44,38.05,43.67,0.24,5.43,60.84
Vegetables stir fry ,1 serving,,30.78,1.04,1.47,1.37,3.19,0.86,55,13.3,0.34,38.17,61.93
